0.0	2.5955151630623554e-11
0.024	7.899607453912187e-11
0.048	5.870756114979289e-9
0.072	4.960251510617545e-13
0.096	1.6166068157376893e-10
0.12	4.950267507475661e-10
0.144	5.4982995202953246e-11
0.168	1.5131907361784444e-10
0.192	3.085058382433444e-10
0.216	1.0661915354578584e-10
0.24	1.2643954189546637e-9
0.264	5.346177500732954e-10
0.288	1.4697986633399488e-10
0.312	1.17766345513055e-10
0.336	7.971094666468232e-9
0.36	3.6691990216055603e-10
0.384	4.4421240830643035e-10
0.408	9.311476505741897e-10
0.432	6.342464964552482e-11
0.456	1.3625779352412941e-10
0.48	1.248738760095603e-10
0.504	4.609829074963993e-10
0.528	2.224936385623771e-9
0.552	4.1120326921656346e-10
0.576	2.8169426787193353e-9
0.6	2.2881822345869968e-10
0.624	1.0642174089233087e-8
0.648	9.37848159145033e-10
0.672	1.0899525261957618e-10
0.696	4.1429917174418397e-10
0.72	3.9557822573433853e-10
0.744	5.710910652523099e-9
0.768	1.3654012572919784e-8
0.792	2.374282260970336e-10
0.816	2.0323560153217999e-10
0.84	3.298335887295718e-10
0.864	3.770086418552229e-9
0.888	6.942068679486353e-9
0.912	3.678973722497178e-9
0.936	2.5367066339317925e-10
0.96	8.627592984638912e-9
0.984	6.960347055040591e-10
1.008	3.041339902417034e-9
1.032	3.768320025157423e-9
1.056	1.4903578060676686e-8
1.08	3.386549792905828e-8
1.104	6.327478172403938e-8
1.128	1.0249678278743092e-7
1.152	3.046869580710303e-7
1.176	9.52909397006174e-7
1.2	2.0899171777169457e-6
