0.0	2.595515163062354e-11
0.024	7.134311444346765e-9
0.048	1.6525417458446148e-8
0.072	3.3243353351067766e-8
0.096	5.2109338519297724e-8
0.12	9.647133393992131e-8
0.144	1.5211252995058555e-7
0.168	2.398032913312102e-7
0.192	3.917773383167417e-7
0.216	6.367845303535634e-7
0.24	1.0385452768837207e-6
0.264	1.7036127491841111e-6
0.288	2.7736218253446013e-6
0.312	4.521374387915863e-6
0.336	7.3954288725915535e-6
0.36	1.2113638013732914e-5
0.384	1.984158977298299e-5
0.408	3.2563504731685036e-5
0.432	5.349742661320642e-5
0.456	8.800695229322112e-5
0.48	0.0001450057045219439
0.504	0.00023927265935573173
0.528	0.0003954859783980238
0.552	0.000654808963438415
0.576	0.0010859574906838365
0.6	0.001803787359220376
0.624	0.0029997009316675076
0.648	0.004991257418654396
0.672	0.008299632246408147
0.696	0.013762888407117145
0.72	0.022677024158312194
0.744	0.036898659966223914
0.768	0.0586934860843678
0.792	0.08990042996404549
0.816	0.1302879480821338
0.84	0.1770161204732485
0.864	0.22817752722342832
0.888	0.2874610577889877
0.912	0.36547262875417
0.936	0.4817772137166592
0.96	0.6738082815138768
0.984	1.0195636003425703
1.008	1.6910849261526466
1.032	3.081353517145979
1.056	6.104832743754145
1.08	12.887453375562494
1.104	28.212405961005846
1.128	61.89965202180112
1.152	130.5051236737295
1.176	253.502530221556
1.2	443.4008206362676
